 Tageswerte der Station 10637 Frankfurt/M-Flughafen                                               
 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
----- -------- -- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
10637 20170507  1   11.4   11.9   13.5   15.8   94.7    2.0    7.7    0.0    8.0    7.0 1000.9
10637 20170506  1    5.4    7.6   14.8   21.7   67.3    3.0   10.8    9.8    4.5    2.5  999.1
10637 20170505  1    4.9    8.0   11.2   14.9   77.7    2.0    8.9    1.0    5.8    0.0 1006.3
10637 20170504  1    8.8    9.5   11.1   13.1   88.7    2.0   10.1    0.3    7.4   20.9 1003.9
10637 20170503  1    6.7    7.0    9.7   11.9   90.7    2.0    9.4    0.0    7.6    1.4 1006.0
10637 20170502  1    7.0    7.4    8.7   10.5   96.8    3.0    7.7    0.0    8.0    5.7 1002.6
10637 20170501  1    7.7    8.0    9.7   12.0   81.9    2.0   11.5    0.0    7.3    9.1  999.5
10637 20170430  1    3.5    5.2   12.7   19.8   47.3    3.0   13.4   13.1    2.1    0.0  999.4
10637 20170429  1    2.2    4.7   10.3   15.9   55.7    2.0    9.8    9.2    3.1    0.0 1004.8
10637 20170428  1   -3.3   -0.4    8.3   13.8   54.9    2.0    9.8    5.8    5.0    0.0 1002.0
10637 20170427  1   -0.8    1.9    7.7   13.4   55.4    2.0    9.8    5.3    5.7    0.0 1002.1
10637 20170426  1    3.3    4.3    8.3   12.8   49.3    2.0    9.8    3.1    7.1    0.0  999.1
10637 20170425  1   -0.5    1.8    7.8   11.6   61.2    3.0   11.0    0.5    7.1    0.0  995.9
10637 20170424  1   -4.8   -1.8    8.2   17.0   60.9    2.0    9.3   12.4    4.4    0.0 1003.1
10637 20170423  1   -1.8    1.2    7.2   11.7   59.1    3.0    9.3    2.1    4.9    0.0 1012.1
10637 20170422  1    4.6    6.5   10.4   13.0   60.6    3.0   13.2    3.0    6.4    0.0 1011.3
10637 20170421  1   -2.3    0.9    9.5   14.8   57.1    2.0   10.3    6.3    5.3    0.0 1017.0
10637 20170420  1   -6.1   -2.9    5.2   12.2   57.5    2.0   10.6   13.2    3.1    0.0 1022.2
10637 20170419  1   -5.0   -1.4    4.3    7.7   60.5    3.0   13.4    3.4    4.5    0.0 1020.0
10637 20170418  1    1.9    3.3    5.6   10.7   71.1    3.0   13.0    5.0    5.4    0.2 1011.4
10637 20170417  1    2.2    3.8    6.0   10.4   80.4    2.0   14.1    2.4    6.5    7.0 1004.8
10637 20170416  1    0.9    4.5    8.1   11.5   67.6    3.0   12.7    0.6    6.6    3.1 1006.9
10637 20170415  1    3.2    5.5   10.0   14.3   67.8    3.0   14.9    0.0    6.8    0.0 1003.3
10637 20170414  1    0.1    3.4   10.6   16.6   59.7    2.0   10.6    8.0    4.9    0.0 1003.7
10637 20170413  1    3.1    5.7   11.7   15.7   60.0    3.0   10.8    3.7    6.3    0.0 1002.4
10637 20170412  1    0.3    2.2   11.8   19.6   60.1    4.0   14.4    4.3    6.8    0.1 1004.8
10637 20170411  1    0.4    3.6    9.1   15.1   59.7    2.0    8.9    6.6    5.6    0.0 1012.6
10637 20170410  1    0.7    3.1   11.8   21.3   65.7    3.0   12.2   11.0    3.0    0.0 1007.0
10637 20170409  1    1.7    4.7   12.8   22.3   63.5    2.0    6.7   12.3    0.6    0.0 1010.7
10637 20170408  1    2.3    6.3   11.2   17.4   70.4    1.0    6.5    4.4    4.7    0.0 1011.7
10637 20170407  3    0.4    2.1    8.8   14.7   69.6    2.0   11.1    3.7    4.6    0.0 1012.4
10637 20170406  3    3.0    5.9    9.3   13.7   57.7    3.0   10.1    5.2    5.0    0.0 1013.4
10637 20170405  3    1.7    4.4   11.2   17.6   59.8    2.0   12.7    7.5    4.1    0.0 1011.0
10637 20170404  3    2.7    6.4   11.7   16.8   60.8    2.0    7.5    8.6    2.4    0.0 1010.7
10637 20170403  3    4.3    7.3   13.6   19.0   59.6    3.0   11.3    9.9    2.1    0.0 1011.8
10637 20170402  3    5.2    7.5   13.0   18.8   68.3    2.0    9.6    5.3    4.6    0.0 1006.5
10637 20170401  3    4.4    7.1   13.9   21.6   60.5    2.0    8.7    5.2    6.3    0.0  999.6
10637 20170331  3    3.4    6.4   15.3   23.5   55.8    3.0   17.0    8.8    5.4    0.0 1004.2
10637 20170330  3    6.8   10.6   15.6   21.7   61.4    2.0    8.1    9.3    4.7    0.0 1012.8
10637 20170329  3    2.7    6.1   13.9   20.0   63.8    3.0   11.1    7.0    4.6    0.0 1013.2
10637 20170328  3   -1.3    1.4   12.8   22.0   54.8    2.0   10.5   10.0    1.1    0.0 1010.0
10637 20170327  3    0.1    3.4   11.0   18.8   45.3    2.0    7.7   12.0    1.7    0.0 1011.2
10637 20170326  3    2.1    5.8   10.6   16.3   49.4    2.0   10.8   10.6    4.9    0.0 1010.8
10637 20170325  3    2.5    4.6   10.8   16.7   53.1    3.0   12.2   11.2    4.0    0.0 1013.5
10637 20170324  3    5.1    7.0   10.2   15.3   68.3    3.0   13.2    5.7    5.2    0.0 1013.7
10637 20170323  3    3.2    4.8    9.7   15.3   77.0    2.0   10.1    5.6    6.2    0.0 1003.6
10637 20170322  3    2.9    3.9    6.9    9.3   83.1    2.0    6.2    0.1    7.2    0.0 1002.2
10637 20170321  3    4.2    4.8    9.2   12.6   82.4    3.0   12.5    0.0    8.0    4.5  998.5
10637 20170320  3    9.9   10.7   12.1   14.4   63.6    4.0   14.7    0.3    7.5    0.0  998.4
10637 20170319  3    9.0    9.2   12.2   15.1   82.1    4.0   15.1    0.0    7.6    0.0  998.5
10637 20170318  3    5.8    6.7    9.8   12.5   83.6    4.0   16.6    0.0    7.8    6.9  996.5
10637 20170317  3   -1.4    0.4    8.1   14.7   72.9    3.0   12.7    2.4    5.7    1.7 1002.9
10637 20170316  3   -1.7    0.6    8.5   17.5   70.6    1.0    6.2   10.7    3.2    0.0 1012.0
10637 20170315  3    0.9    3.5   10.2   15.8   73.4    2.0    8.7    3.9    5.7    0.0 1018.5
10637 20170314  3   -1.2    0.3    7.8   16.3   69.8    2.0    7.2    8.0    6.5    0.0 1018.8
10637 20170313  3   -1.6    1.3    6.7   13.7   60.7    2.0    6.7    8.8    3.2    0.0 1012.5
10637 20170312  3   -1.6    0.6    7.2   14.0   59.9    2.0    9.1   10.1    3.3    0.0 1005.1
10637 20170311  3   -2.0   -0.1    6.7   13.7   65.2    2.0    6.9    6.8    5.0    0.0 1010.3
10637 20170310  3   -0.3    2.3    7.9   12.3   61.9    2.0   11.3    8.4    3.6    0.0 1014.5
10637 20170309  3    3.7    5.1   10.2   17.0   83.6    3.0   13.4    1.9    5.5    2.4 1006.5
10637 20170308  3   -1.6    0.4    4.6    8.2   96.0    3.0   15.3    0.0    6.8   13.2 1007.1
10637 20170307  3    3.2    4.3    6.1   10.1   85.1    3.0   12.9    2.0    6.8    0.7 1002.0
10637 20170306  3    2.6    4.2    6.2    8.5   87.0    3.0   13.4    0.3    7.1    2.4  989.7
10637 20170305  3    4.3    4.8    7.3   11.0   81.8    4.0   19.0    1.6    7.1    5.4  989.3
10637 20170304  3    0.0    2.9    9.2   16.8   67.3    3.0   16.3    4.3    6.8    2.7  983.9
10637 20170303  3   -2.2    0.2    6.7   12.9   64.0    2.0    9.4    1.9    7.3    0.0  997.5
10637 20170302  3    0.3    3.5    8.6   11.6   59.9    5.0   20.6    2.2    5.3    0.0  998.2
10637 20170301  3    3.5    4.5    6.8   10.0   80.0    4.0   18.2    0.7    7.2    2.7  990.6
10637 20170228  3    2.6    4.4    6.1    9.2   78.4    4.0   16.6    1.6    6.7    1.0  983.4
10637 20170227  3    6.3    7.1   11.2   14.9   63.6    4.0   22.8    1.7    6.9    4.3  991.7
10637 20170226  3   -0.6    1.8    8.3   14.4   63.9    3.0   13.7    5.1    5.6    0.0 1002.4
10637 20170225  3   -6.2   -3.5    2.8   10.1   77.8    2.0   11.7    5.5    4.5    0.0 1008.8
10637 20170224  3   -4.4   -1.8    5.5    9.0   63.2    4.0   17.8    3.5    4.8    0.1  999.8
10637 20170223  3    5.6    8.4    9.9   11.1   69.8    5.0   21.4    0.0    7.0    0.0  990.0
10637 20170222  3    8.6   10.0   10.7   11.7   82.4    5.0   19.0    0.0    7.5    0.0  998.3
10637 20170221  3    7.5    9.7   10.3   12.4   90.2    3.0   12.9    0.0    7.4    0.8 1003.2
10637 20170220  3    2.8    4.7    7.7   10.3   88.2    3.0   14.2    0.0    7.5    1.1 1007.1
10637 20170219  3   -6.2   -4.0    2.9    8.9   86.0    2.0    9.1    1.4    4.8    0.1 1011.1
10637 20170218  3   -3.2    0.0    6.3    8.7   73.3    2.0    9.1    0.0    7.0    0.0 1014.6
