 Tageswerte der Station 10729 Mannheim                                               
 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
----- -------- -- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
10729 20170510  1   -0.9    1.2   11.1   20.2   65.5    1.0    6.0   14.1    0.6    0.0  997.3
10729 20170509  1    0.0    3.0    9.5   15.0   70.0    2.0    9.1    8.3    3.3    0.0 1006.2
10729 20170508  1    7.8    8.2   10.3   12.2   83.0    3.0    9.9    0.0    7.8    0.3 1006.5
10729 20170507  1   11.5   11.9   13.4   14.7   94.1    2.0    7.7    0.0    7.9   25.5 1001.8
10729 20170506  1    3.4    6.0   15.1   22.4   68.2    2.0    9.8    7.4    5.3    0.0  999.3
10729 20170505  1    4.6    7.5   11.9   16.5   76.3    2.0    5.1    5.0    5.4    0.0 1006.5
10729 20170504  1    1.3    3.8   10.6   17.3   88.5    2.0    6.9    1.6    6.2   16.7 1004.2
10729 20170503  1    3.0    6.3   10.7   15.2   85.2    2.0    7.2    1.5    6.5    0.0 1006.1
10729 20170502  1    5.9    7.7    9.9   12.1   90.7    2.0    7.5    0.0    7.4    1.4 1003.6
10729 20170501  1    5.5    7.9    9.7   13.8   82.8    2.0   12.4    0.0    6.6   11.3 1000.3
10729 20170430  1   -2.1    1.1   13.0   20.4   47.4    3.0   13.7   13.3    1.1    0.0  999.3
10729 20170429  1   -0.6    3.1   10.0   15.9   61.0    2.0    6.6    8.2    4.3    0.0 1005.4
10729 20170428  1   -1.4    2.1    9.3   14.8   52.8    2.0    9.0    8.4    5.7    0.0 1002.8
10729 20170427  1    2.7    5.2    8.3   13.1   63.3    2.0    6.3    3.5    7.2    0.0 1002.8
10729 20170426  1    4.3    5.6    8.4   11.8   57.5    2.0    6.9    1.4    6.1    0.0  999.8
10729 20170425  1   -0.1    3.7    8.1   12.3   67.9    2.0    9.3    0.1    6.8    0.0  996.9
10729 20170424  1   -4.6   -1.6    8.7   17.0   59.7    1.0    7.9   10.9    2.7    0.0 1003.8
10729 20170423  1   -3.0   -0.1    6.8   12.9   60.0    2.0    8.1    7.9    3.1    0.0 1012.9
10729 20170422  1    5.9    7.5   10.9   13.1   59.8    2.0   12.7    2.1    7.4    0.0 1012.2
